,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,MMTPrice
232,Vistara,UK 945,New Delhi,11:40:00,Mumbai,13:50,02 h 10 m,5316
233,Air India,AI 605,New Delhi,21:15:00,Mumbai,23:35,02 h 20 m,5316
139,IndiGo,6E 6247,Bengaluru,04:25:00,New Delhi,07:15,02 h 50 m,5354
140,IndiGo,6E 5021,Bengaluru,05:35:00,New Delhi,08:25,02 h 50 m,5354
141,IndiGo,6E 6621,Bengaluru,15:20:00,New Delhi,18:15,02 h 55 m,5354
142,IndiGo,6E 5039,Bengaluru,16:45:00,New Delhi,19:35,02 h 50 m,5354
143,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,5354
144,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,5354
145,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,5354
146,AirAsia,I5 1532,Bengaluru,19:10:00,New Delhi,22:05,02 h 55 m,5354
147,AirAsia,I5 1532,Bengaluru,19:10:00,New Delhi,22:05,02 h 55 m,5354
148,IndiGo,6E 735,Bengaluru,19:20:00,New Delhi,22:05,02 h 45 m,5354
149,IndiGo,6E 2406,Bengaluru,20:35:00,New Delhi,23:20,02 h 45 m,5354
150,Air India,AI 511,Bengaluru,14:55:00,New Delhi,18:20,03 h 25 m,5368
151,Air India,AI 509,Bengaluru,19:35:00,New Delhi,22:35,03 h,5368
110,Akasa Air,QP 1350,New Delhi,21:00:00,Bengaluru,23:35,02 h 35 m,5400
111,Akasa Air,QP 1350,New Delhi,21:00:00,Bengaluru,23:35,02 h 35 m,5400
392,Vistara,UK 880,Hyderabad,13:15:00,New Delhi,15:35,02 h 20 m,5401
393,Vistara,UK 880,Hyderabad,13:15:00,New Delhi,15:35,02 h 20 m,5401
286,IndiGo,6E 2284,New Delhi,05:25:00,Kolkata,07:55,02 h 30 m,5408
287,Vistara,UK 747,New Delhi,06:15:00,Kolkata,08:25,02 h 10 m,5408
288,IndiGo,6E 5219,New Delhi,06:25:00,Kolkata,08:35,02 h 10 m,5408
289,IndiGo,6E 6182,New Delhi,15:55:00,Kolkata,18:10,02 h 15 m,5408
290,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,5408
291,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,5408
292,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,5408
293,IndiGo,6E 2057,New Delhi,19:00:00,Kolkata,21:05,02 h 05 m,5408
294,IndiGo,6E 2057,New Delhi,19:00:00,Kolkata,21:05,02 h 05 m,5408
295,SpiceJet,SG 8251,New Delhi,19:30:00,Kolkata,21:40,02 h 10 m,5408
296,IndiGo,6E 2517,New Delhi,20:30:00,Kolkata,22:40,02 h 10 m,5408
297,IndiGo,6E 6005,New Delhi,22:50:00,Kolkata,"01:00
+ 1 DAY",02 h 10 m,5408
298,IndiGo,6E 2603,New Delhi,23:50:00,Kolkata,"02:05
+ 1 DAY",02 h 15 m,5408
299,Vistara,UK 737,New Delhi,15:45:00,Kolkata,18:05,02 h 20 m,5440
300,Vistara,UK 737,New Delhi,15:45:00,Kolkata,18:05,02 h 20 m,5440
394,Vistara,UK 890,Hyderabad,17:40:00,New Delhi,19:55,02 h 15 m,5453
395,Air India,AI 559,Hyderabad,06:15:00,New Delhi,08:45,02 h 30 m,5472
396,Air India,AI 559,Hyderabad,06:15:00,New Delhi,08:45,02 h 30 m,5472
397,Air India,AI 523,Hyderabad,14:10:00,New Delhi,16:35,02 h 25 m,5472
398,Air India,AI 541,Hyderabad,16:25:00,New Delhi,18:50,02 h 25 m,5472
399,Air India,AI 840,Hyderabad,20:50:00,New Delhi,23:20,02 h 30 m,5472
301,Air India,AI 767,New Delhi,12:20:00,Kolkata,14:30,02 h 10 m,5492
302,Air India,AI 764,New Delhi,17:05:00,Kolkata,19:15,02 h 10 m,5492
303,Air India,AI 764,New Delhi,17:05:00,Kolkata,19:15,02 h 10 m,5492
304,Air India,AI 762,New Delhi,21:00:00,Kolkata,23:30,02 h 30 m,5492
112,Air India,AI 813,New Delhi,08:00:00,Bengaluru,10:55,02 h 55 m,5503
152,Vistara,UK 820,Bengaluru,17:50:00,New Delhi,20:35,02 h 45 m,5513
153,Vistara,UK 820,Bengaluru,17:50:00,New Delhi,20:35,02 h 45 m,5513
154,Vistara,UK 818,Bengaluru,19:40:00,New Delhi,22:20,02 h 40 m,5513
155,Vistara,UK 814,Bengaluru,21:10:00,New Delhi,23:45,02 h 35 m,5513
156,Vistara,UK 814,Bengaluru,21:10:00,New Delhi,23:45,02 h 35 m,5513
28,IndiGo,6E 5294,Mumbai,14:45:00,Bengaluru,16:40,01 h 55 m,5540
